level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	224	290	1384	58	-1	
3	1	1	1	0	0	224	290	1384	58	-1	
4	1	1	1	1	0	224	290	1384	58	-1	
5	1	1	1	1	1	224	291	277	56	93.091171	Appendix
5	1	1	1	1	2	526	292	59	45	93.078560	C:
5	1	1	1	1	3	612	293	47	45	96.930130	A
5	1	1	1	1	4	684	291	219	57	96.684525	Simpler
5	1	1	1	1	5	927	290	163	46	96.116966	Proof
5	1	1	1	1	6	1107	290	58	46	93.097633	of
5	1	1	1	1	7	1182	291	149	47	41.676945	Lé6b’s
5	1	1	1	1	8	1355	293	253	44	96.448822	Theorem
2	1	2	0	0	0	222	503	1751	49	-1	
3	1	2	1	0	0	222	503	1751	49	-1	
4	1	2	1	1	0	222	503	1751	49	-1	
5	1	2	1	1	1	222	505	93	38	96.854866	This
5	1	2	1	1	2	331	503	189	49	96.234749	appendix
5	1	2	1	1	3	535	504	73	39	96.740021	will
5	1	2	1	1	4	624	503	154	49	96.713669	provide
5	1	2	1	1	5	793	517	25	25	95.861618	a
5	1	2	1	1	6	833	503	96	40	96.411743	brief
5	1	2	1	1	7	941	503	142	40	95.775558	outline
5	1	2	1	1	8	1098	503	40	40	96.425446	of
5	1	2	1	1	9	1151	516	24	26	89.266289	a
5	1	2	1	1	10	1189	504	150	48	96.568077	simpler
5	1	2	1	1	11	1355	503	110	49	96.688560	proof
5	1	2	1	1	12	1478	503	56	40	93.300026	for
5	1	2	1	1	13	1551	504	109	39	78.711761	L6b’s
5	1	2	1	1	14	1675	504	186	39	96.266556	Theorem
5	1	2	1	1	15	1880	503	93	39	96.325768	than
2	1	3	0	0	0	223	615	695	49	-1	
3	1	3	1	0	0	223	615	695	49	-1	
4	1	3	1	1	0	223	615	695	49	-1	
5	1	3	1	1	1	223	627	160	37	96.914398	appears
5	1	3	1	1	2	400	616	38	37	93.183189	in
5	1	3	1	1	3	455	615	251	40	92.337067	Mendelson’s
5	1	3	1	1	4	724	616	194	39	96.276344	textbook.
2	1	4	0	0	0	224	768	1748	272	-1	
3	1	4	1	0	0	224	768	1748	272	-1	
4	1	4	1	1	0	293	768	1679	49	-1	
5	1	4	1	1	1	293	769	14	38	95.787605	I
5	1	4	1	1	2	327	781	75	27	96.429840	saw
5	1	4	1	1	3	420	781	24	25	96.180092	a
5	1	4	1	1	4	461	768	197	48	94.917549	published
5	1	4	1	1	5	678	771	145	37	96.612404	version
5	1	4	1	1	6	840	769	42	39	96.390663	of
5	1	4	1	1	7	899	770	74	38	96.595512	this
5	1	4	1	1	8	992	769	117	48	95.620285	proof.
5	1	4	1	1	9	1141	770	66	38	96.817665	For
5	1	4	1	1	10	1227	768	64	40	96.722527	the
5	1	4	1	1	11	1308	768	87	40	96.536034	sake
5	1	4	1	1	12	1412	768	42	40	96.879677	of
5	1	4	1	1	13	1468	768	228	49	96.551331	simplifying
