level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	1	332	132	87	-1	
3	1	1	1	0	0	1	332	132	87	-1	
4	1	1	1	1	0	1	332	132	87	-1	
5	1	1	1	1	1	1	332	61	49	37.034016	=
5	1	1	1	1	2	106	354	27	65	37.034016	J
2	1	2	0	0	0	82	1602	53	14	-1	
3	1	2	1	0	0	82	1602	53	14	-1	
4	1	2	1	1	0	82	1602	53	14	-1	
5	1	2	1	1	1	82	1602	53	14	29.932930	—_,
2	1	3	0	0	0	252	319	1510	51	-1	
3	1	3	1	0	0	252	319	1510	51	-1	
4	1	3	1	1	0	252	319	1510	51	-1	
5	1	3	1	1	1	252	321	235	49	96.510788	compatible
5	1	3	1	1	2	505	322	93	37	93.284821	with
5	1	3	1	1	3	615	321	286	47	92.577744	self-justifying
5	1	3	1	1	4	919	321	113	48	96.239273	logics
5	1	3	1	1	5	1050	324	109	46	96.819168	using
5	1	3	1	1	6	1174	323	182	38	96.386642	semantic
5	1	3	1	1	7	1374	320	152	38	96.695427	tableau
5	1	3	1	1	8	1544	319	218	37	96.487183	deduction.
2	1	4	0	0	0	1218	404	855	163	-1	
3	1	4	1	0	0	1218	404	858	163	-1	
4	1	4	1	1	0	1218	404	855	163	-1	
5	1	4	1	1	1	1218	407	199	100	28.263786	ape
5	1	4	1	1	2	1471	404	160	130	0.000000	Pieay
5	1	4	1	1	3	1666	404	76	130	52.743248	nl
5	1	4	1	1	4	1794	450	279	117	0.000000	pxpae
2	1	5	0	0	0	254	498	1441	140	-1	
3	1	5	1	0	0	254	498	1441	140	-1	
4	1	5	1	1	0	254	498	804	66	-1	
5	1	5	1	1	1	254	502	37	50	96.348442	7
5	1	5	1	1	2	378	499	250	53	90.364563	Overall
5	1	5	1	1	3	658	498	400	66	96.452545	Perspective
4	1	5	1	2	0	1207	548	488	90	-1	
5	1	5	1	2	1	1207	549	95	63	30.025803	find
5	1	5	1	2	2	1384	559	180	76	50.987354	Mays?
5	1	5	1	2	3	1599	548	96	90	49.328949	ysl
2	1	6	0	0	0	247	761	2076	707	-1	
3	1	6	1	0	0	247	761	2076	703	-1	
4	1	6	1	1	0	249	761	2007	52	-1	
5	1	6	1	1	1	249	766	85	37	96.607033	The
